,tweets
956,I don’t think soo now we should place prepaid orders from flipkart anymore because they block your money and the product will never show neither the refund. #Flipkart #flipkartsupport wakeup and solve your customers issue
957,"50% Off : Palmolive Luminous Oils Indulgence Kit  (500 ml)@ 325

https://t.co/pLQrFOk6vp

More https://t.co/kgvByaAlN9

 ."
958,"Hey! I played this fun game show on Flipkart Video where you can win rewards upto ₹1000 every day! Join me and play now
https://t.co/P06XLg4QPx
Todays (26th Nov) Beat the Genius Answers
1. ByteDance
2. Shiva
3. KD Jadav
4. Best Editing
5. Vijayanagara
#Flipkart #BeattheGenius"
959,"LIVE 💥💥Flipkart #BlackFriday  Sale On Mobiles
👉🏻 https://t.co/2DObXogMVz https://t.co/tZZPqtAKNv"
960,"RT @pandeyvinay1989: Dear @Flipkart and @flipkartsupport 
I received a wrong item I already try to return this item but you people reject m…"
961,"@chaitanyaravul2 To ensure that your Flipkart account information is safe, please DM us by clicking on the below link with the requested details. ^KC (2/2) https://t.co/5DoqNu2BgV"
962,@Pati_Rachita17 You can always start a private chat with us by clicking on the link below to make sure the Flipkart account details are safe. ^RP (2/2) https://t.co/5DoqNukc8t
963,"@mohit8mahajan @myntra @Flipkart @amazon Sir, The complaint is already registered still myntra is not able to do anything. One of the screenshots has complained registered message as well."
964,"@Fib_ber To ensure that your Flipkart account information is safe, please DM us by clicking on the below link with the requested details. ^AG (2/2) https://t.co/5DoqNukc8t"
965,"Dear @Flipkart , kindly also give me a time machine to be able to use this code. https://t.co/3egFX0KgHT"
966,@Flipkart Please be advised how much time do I need to wait for your response?
967,"@Flipkart @flipkartsupport 
Worst part from you. Without delivering a product, how can you say that you delivered?
Don't do such chepa tricks to get easy money.."
968,"Hope CG didn't ask to stop delivery of condoms citing falling fertility rate !!

Chhattisgarh: Raipur police ask Amazon, Flipkart not to deliver knives in Raipur, stabbing cases on rise https://t.co/hJHWr6eeul via @timesofindia"
969,"Camel Student Watercolor 24 Shades @68.

https://t.co/kn8kJbQVpv"
970,"@SoorajS98553525 In the future, to ensure that your Flipkart account information is safe, request you to reach us via DM by clicking the below link. ^TT (2/2) https://t.co/5DoqNukc8t"
971,@SoorajS98553525 We’re sorry to let you know that your order was canceled as the seller was unable to fulfill it on time and they did not want to keep you waiting. We’re working closely with our seller community to make your shopping experiences on Flipkart seamless. (1/2)
972,Flipkart always thinking
973,"Hey! I played this fun game show on Flipkart Video where you can win rewards upto ₹1000 every day! Join me and play now
https://t.co/GynbWOqNTV
Todays (26th Nov) Answers
1. Not Fake
2. Fake
3. Fake
4. Not Fake 
5. Not Fake
#Flipkart #FakeorNot"
974,"Flipkart Fake Or Not Fake Quiz Answers | Win Gift Vouchers Or Supercoins | 26 November 2020
https://t.co/9CkhamaDS2"
975,@flipkartsupport @Flipkart This is worst service from Flipkart. I don't know why they are cheating there customers. I have called 3 to 4 times still they are not accepting the problem. If they are not accept problem then why they are selling. Flipkart is a big cheater.#Flipkart
976,@CMOfficeUP @myogiadityanath @Flipkart @navneetsehgal3 @ShishirGoUP TIGERS off up
977,"That's a heck of a problem with Flpkrt, they keep procrastinatin things, The product was scheduld to deliver on 18 yet they haven't updated me regarding the cause of delay.
Dear @Flipkart @flipkartsupport look into this, n organize awareness programme with your delivery partners. https://t.co/2P03btlu1e"
978,"Flipkart Beat The Genius Quiz Answers | Beat The Genius Flipkart | 26 November 2020
https://t.co/DWz67OeQ6J"
979,"@Flipkart
An overrated e-commerce web store which barely cares about customers.
Order something, get something else delivered and then the real game starts!
""Give us 2, 3 more days etc"".
Then they auto mark the issue as resolved without actually resolving. 
THE WORST
#Flipkart"
980,"Follow us 
@FRCP_Deals
 to get Instant Discount Deals or Loot Deals, Offer, tips &amp; Tricks for #Amazon &amp; #Flipkart 

Follow us 
@FRCP_Deals

#MumbaiTerrorAttacks #ConstitutionDay2020 #Constitution #constitutionofindia #donate #thursdaymorning"
981,"Flipkart Daily Trivia Quiz Answers | Win Gift Vouchers, Gems | 26 November 2020
https://t.co/F3pDTak3im"
982,"That's Really Impressive.
4.7 Out Of 5 Rating. 😊😊😊
Yeh Hai Naya Indian 
#boycottchineseProducts #AatmanirbharBharat #INForIndia #micromaxinnote1 
@Micromax__India
 
@Flipkart https://t.co/L164tyf3O7"
983,I don't have time to go MI Store and take a certificate (jobshet) this is a duplicate product it's your problem you are selling a duplicate product through the seller . It's your responsibility to ensure that the product is original which is showing on Flipkart https://t.co/gZZsn67lHM https://t.co/EgIMzcQtOi
984,@flipkartsupport @_Kalyan_K When will you #refund my #money that you have been holding it since 9th November for no reason @flipkartsupport @_Kalyan_K @Flipkart #Flipkart #flipkartcheats #onlineshopping
985,"Hey! I played this fun game show on Flipkart Video where you can win rewards upto ₹1000 every day! Join me and play now
https://t.co/CHDGwswcOd
Ladies and Gentlemen Today's(26th Nov) Answers
1. 60
2. 60
3. 50
#Flipkart #LadiesandGentlemen"
986,@flipkartsupport @Flipkart ThisI have purchased DSLR from Flipkart and received faulty camera they have have mentioned 7 days return when I have applied for return they are not accepting. Yesterday I have called 4 times. Still no action. Worst service.this is 3rd issue in a month
987,"@Anupktinwal @_Kalyan_K @AdarshKMenon @dmcmillon17 @amazonIN @Ravikum39413071 @Kanishk966067 @sainimdw007 @roshangjha @wallmart @JitendraNaruk13 Very True, I also have pathetic experience with flipkart."
988,"Flipkart Big Buzz Challenge Quiz Answers | Big Buzz Challenge Flipkart | 26 November 2020
https://t.co/l9XyzR6WHE"
989,"[Many Options] Palmolive Body Wash Min 40% to 50% off from Rs.300 @ Flipkart

https://t.co/WUWvsTQrNn"
990,"@LAXMINARAYAN53 If there is anything else we can help you with, please let us know by clicking the below link for the privacy of your Flipkart account details. ^TY (2/2) https://t.co/5DoqNukc8t"
991,"@Flipkart @flipkartsupport Another Extension
This is getting ridiculous now.
Call and solve the issue today https://t.co/UZloqIb1Nv"
992,"Micromax in 1b to Go on Sale in India for First Time Today via Flipkart @Micromax__India @Flipkart 

https://t.co/4tqorAGgcp"
993,"Google Pixel 4a [6GB/128GB] @ 31999 + Bank Card

https://t.co/xVRW45TSiC"
994,@Anoop80785070 @Flipkart @GPTW_India @C_P_Gurnani @tech_mahindra @anandmahindra @Harsh_Soin Please clear our dues
995,@flipkartsupport Still awaiting for fulfillment of assurance made yesterday from @flipkartsupport side. I have again raised the matter on @Flipkart
996,"@Flipkart Here’s a post if you would like to address concern -https://t.co/V6HJSLYoEX
“I am beginning to wonder if this FRAUD is a common thing for FLIPKART as they do not take their customers seriously?...”
#ineedhelp #flipkartindia #Flipkartbigbilliondays #Troubled #exploited https://t.co/GCJK0qC8vC"
997,"RT @News18Tech: #MicromaxIn1B to go on sale today at 12PM (noon).
@Micromax__India #MicromaxIsBack

https://t.co/WiMucxXTMV"
998,"#MicromaxIn1B to go on sale today at 12PM (noon).
@Micromax__India #MicromaxIsBack

https://t.co/WiMucxXTMV"
999,"@MGadilkar To ensure that your Flipkart account information is safe, please DM us by clicking on the below link with the requested details. ^AX (2/2) https://t.co/5DoqNukc8t"
1000,"#RealmeN1SonicElectric Toothbrush Now Available in White Color 

Sorry for Late #Update  🤕

Pricing :- ₹799

Available on  @Flipkart &amp; @realmecareIN

Link :- https://t.co/Og13qDOBrV

RT'S &amp; FOLLOW 📌

#realme7pro #realme7i #realmeui #realmeSmartTV #RealmeX2Pro #RealmeX7 https://t.co/nWrl8yxUzD"
1001,"@Flipkart 3rd time after not completing the pickup for the same product even after multiple escalation when I demand for a refund , my customer care call gets placed on an unending hold . 
Seriously I have not seens such a worse service. Even for filpkart plus members."
1002,"Yashu Natural Aloe Vera Powder for Face Care &amp; Hair Care  (100 g)
https://t.co/T8cTo4qKck
#yashunatural #naturalaloeverapowder #NaturalBeauty #naturalskincare #naturalhomemadefacemask #naturafacemask #naturalhaircare #haircare https://t.co/A6nM0ysGZn"
1003,What a pathetic service by @Flipkart @FlipkartSellers ! Ordered iPhone SE flip cover and delivered flip cover which is double size of my phone. Raised request for return then you people cancelled my order and now u r neither ready to refund my amount nor to accept the product.
1004,"@IDFCFIRSTBank Sir, Kindly introduce Credit card facility for all types customer relationship with the bank. Link your credit card with amazon pay or flipkart etc. for more features and shopping experience. A 15k - 20k credit limit following existing bank norms may be enough."
1005,"Flipkart Daily Trivia Quiz 26th Nov Answers: 
1. Super Mario
2. Chattisgarh
3. Kuwait
4. Barcelona
5. Pitot tube
#Flipkart #Dailytrivia"
1006,"@flipkartsupport What else .
After 6 months if flipkart is not able to provide a solution for a damaged product.
Then what else can flipkart doo
Join don't shop from flipkart campaign."
1007,"Flipkart Black Friday Sale ( 26 - 30 Nov ) 

https://t.co/PlxEXNCy2d https://t.co/HRQEozgwJ7"
1008,@datbhag @Flipkart Do we have an option?
1009,"On social media I want to give information about how big Flipkart has cheated me and have not given my  refund  yet od id-  OD120166400309229000 Big cheater fake company fake promise..@FlipkartSellers 
@flipkartsupport @jagograhakjago"
1010,"Flipkart Beat the Genius Answer [26th Nov 2020]

1. Bytedance
2. Shiva
3. Keshav Dutt Jadhav
4. Best Editing
5. Vijaynagar

Flipkart Ladies VS Gentleman Answers [26th Nov 2020]

1. 60%
2. 60%
3. 50%"
1011,"Dear sir 
I want ekart franchise for my location pin no 533294 @Flipkart @flipkartsupport"
1012,@shubhamdued We understand that you wish to get connected to us via email. Request you to click on the link https://t.co/gcqXiHZMWf and select the issue type. You can select the email Channel to get assistance via email. Hope this helps. ^FC https://t.co/5DoqNukc8t
1013,"@neha8192 In future, to ensure that your Flipkart account information is safe, please DM us by clicking on the below link. ^AO (2/2) https://t.co/5DoqNukc8t"
1014,Google pixel 4a back on the flipkart but not deliverable to my location. 🙁
1015,"@SpicyZinc To ensure that your Flipkart account information is safe, please DM us by clicking on the below link with the requested details. ^RP (2/2) https://t.co/5DoqNu2BgV"
1016,"Eyevy 
UV Protection Wayfarer Sunglasses (Free Size)  (Clear, Black)
₹236

link : https://t.co/4p9sZ9jsc3

#Deals #Flipkart https://t.co/wAzywM2PmQ"
1017,@Flipkart I bought a refrigerator from you. It got delivered yesterday and it came covered in a thick layer of dust. Sceptical about returning and waiting for a new one because of a slow delivery speed. Very bad service in these parts of the country. Very bad.
1018,@flipkartsupport @Flipkart @flipkartsupport sucks
1019,@Flipkart @consumerforum @jagograhakjago not only in one product they are making fool on every product. I ordered harpic instead of harpic they delivered me local brand. https://t.co/AKX4PQJtSH
1020,"*Good Morning Everyone*

*Flipkart live Again on Cashback World  Make the best use of Double Cashback  only this week Shop Now!!*

Use my referrer LINK:
USE WITH (ONLY SHOPPER) 
👉🏼 https://t.co/t6DctJiXef https://t.co/DbEN9iRpyn"
1021,"@motorolaindia @Flipkart Moto one fusion plus has been lot of problems in voLTE jio, pls give updated or solutions.its automatically switch off."
1022,@flipkartsupport I had placed complaint against my order No-OD120159276388689000.and requested for replacement...12 days back..still the matter is unresolved..this kind of customer support service is not expected from flipkart.!!.@Flipkart
1023,"What is your email id ?

@Flipkart @flipkartsupport"
1024,"@akashcs20 To ensure that your Flipkart account information is safe, please DM us by clicking on the below link to assist you further. ^KC (2/2) https://t.co/5DoqNukc8t"
1025,"November 26 Flipkart Daily Trivia Quiz Answers: Answer to win exciting prizes
https://t.co/Jw8h8e8zZh"
1026,@CMOfficeUP @myogiadityanath @Flipkart @navneetsehgal3 @ShishirGoUP Thanks
1027,"Hua You Cake Mould  (Pack of 1)

₹246

link : https://t.co/z7siZUJeaN

#Deals #Flipkart https://t.co/mLJPhKUiAp"
1028,"Micromax in 1b first sale in india right this moment by way of flipkart, firm website https://t.co/GRfkwwMCwp"
1029,"RT @imdshadab: After, launch at the World Book Fair, Pragati Maidan our book is now selling online👇

Amazon
https://t.co/ckUdryrrMC  

Flip…"
1030,"Cello VENICE FRIDGE WATER BOTTLES 1000 ml Bottle  (Pack of 5, Multicolor, Plastic)
₹397

link : https://t.co/7gDIHXJW0G
#Deals #Flipkart https://t.co/pkmigHWjlO"
1031,"🎁✨Flipkart Daily Trivia Quiz Answers [26th Nov 2020]🎯🎯

1 : Super Mario
2 : Chattisgarh
3 : Kuwait
4 : Barcelona
5 : Pitot Tube

Share &amp; Support Us"
1032,"Treo CASCADE COOL Glass Beer Mug  (292 ml, Pack of 2)
₹110

link : https://t.co/b3cL0s4riT

#Deals #Flipkart https://t.co/0ESu7cEXqo"
1033,"@flipkartsupport wtf you guys are doing. This order is in my city since 2 days but your courier is not able to deliver the same.  
@Flipkart @_Kalyan_K is this your services? https://t.co/QegwvSRoET"
1034,@RedmiIndia @amazonIN @Flipkart Nice
1035,"@rajunainital Also, we'd request you not to reveal Flipkart account details here in future as this is an open platform. In order to ensure your account safety, please DM us by clicking on the below link for further assistance on this. ^TY (2/2) https://t.co/5DoqNu2BgV"
1036,Micromax In 1b is all set to go on sale in India today. The phone comes with an octa-core MediaTek Helio G35 SoC and features a 6.52-inch full-HD+ display. It also comes with a dual rear camera setup that houses a 13-megapixel primary sensor. https://t.co/EaX6vDkOEF https://t.co/7RJ3Rl80lw
1037,"Is this how you resolve issues and assure customer satisfaction? You keep on pushing the refund deadline week by week and expect that customers would be happy. 

Worst experience in online shopping so far!@Flipkart @flipkartsupport https://t.co/AVMmAFr1uX https://t.co/9btuUHOKs5"
1038,"@sundeepkg To ensure that your Flipkart account information is safe, please DM us by clicking on the below link with the requested details. ^KC (2/2) https://t.co/5DoqNu2BgV"
1039,RT @imPpandia: @flipkartsupport @Flipkart @_Kalyan_K booked 2 flight ticket from Delhi to Surat. Travel date was 25.05.2020. Flight cancell…
1040,"@Sanjana85123221 To ensure that your Flipkart account information is safe, please DM us by clicking on the below link with the requested details. ^VM (2/2) https://t.co/5DoqNukc8t"
1041,#Flipkart  not reliable anymore  although  being  assured members.I ordered one jwellery set for my brother  wedding.  Delivery  was getting  delayed  and today they cancelled  saying it is out of stock.After 1 day there is function.Terrible experience this time.Never rely on it
1042,"🎁 Flipkart Beat The Genius EP.5. Quiz Today Answers 👇(26 Nov)

1. Bytedance
2. Shiva
3. Kd jadhav
4. Best editing
5. Vijaynagar

Link : https://t.co/9sAuaTBtB6

Flipkart New Game : Ladies Vs Gentleman today Answers 👇(26 Nov)
Link : https://t.co/YkAtNK2UEy
1. 60%
2. 60%
3. 50%"
1043,"Play Fake / Not Fake And Win Random Prizes (26 Nov)
Play Hare : https://t.co/lLDdMFT4uo
1. Not Fake
2. Fake
3. Fake
4. Not Fake
5. Not Fake"
1044,"Rain, cold or heat early or late hour .. great to see the efforts of delivery teams of @bigbasket_com @Flipkart @amazonIN @swiggy_in @zomato   and other ecom teams ...  The super GiGs"
1045,"The author is a leader of one of the most successful insurance companies, and hence this book comes from an expert to begin with. Available on Amazon, Flipkart, Shopclues and bluerose. https://t.co/wktYbdMxGI"
1046,@flipkartsupport #Flipkart is harrasing with the delivery of #pixel4A @GoogleIndia
1047,"@_Kalyan_K The return and refund policy of flipkart is very bad. Accidentally I purchased two same products from flipkart, on with gst no. and another without gst but now they didn't return and refund the second one. Odr no 120122461817415000. Also support assistant not supportiv"
1048,"The author is a leader of one of the most successful insurance companies, and hence this book comes from an expert to begin with. Available on Amazon, Flipkart, Shopclues and bluerose. https://t.co/RFQblBqSjY"
1049,"The author is a leader of one of the most successful insurance companies, and hence this book comes from an expert to begin with. Available on Amazon, Flipkart, Shopclues and bluerose. https://t.co/yUVVrXdZto"
1050,"A practical guide to understand insurance policies. Learn from the actual stories of thousands of real-life claims. Learn a rock-solid foundation to anchor your technical insurance knowledge. There is simply no substitute for experience. on Amazon, Flipkart, Shopclues bluerose. https://t.co/i74vcYpzmg"
1051,@Micromax__India @Flipkart That's wonderful phone
1052,"@supriya95137120 If there's anything else, please let us know and we'll surely assist you. In future, to ensure that your Flipkart account information is safe, please DM us by clicking on the below link. ^AO (2/2) https://t.co/5DoqNukc8t"
1053,"@Flipkart The return and refund policy of flipkart is very bad. Accidentally I purchased two same products from flipkart, on with gst no. and another without gst but now they didn't return and refund the second one. Odr no 120122461817415000. Also support assistant not supportive"
1054,@Flipkart WHERE IS MY REFUND? YOU PEOPLE ARE FOOLING THE CUSTOMER S.SHAME SHAME SHAME FLIPKART. @amazon is way better in all terms than you. https://t.co/2dui9GCv7y
1055,"@flipkartsupport It's not a seller issue. Every single phone does NOT offer Exchange in main mumbai City but offers exchange in a remote industrial area (me factory). I've exchanged before, which means you have turned off. #Flipkart does not offer exchange anymore"
1056,"@Mysterydealz Affirmative,,if I have flipkart coins🙄🤷🏽‍♂️"
1057,"RT @IndiaPOCO: A smartphone that ensures ultimate power efficiency! Say hello to the  #SmoothAF #POCOX3.
✅120Hz Refresh Rate
✅ DynamicSwitc…"
1058,"@flipkartsupport @Flipkart @flipkartsupport 
Why you are showing your concern when No one is responding."
1059,"@Aniruddha98_Cho Also, we'd request you not to reveal Flipkart account details here. You can just reach out to us via DM to ensure your account safety by clicking the below link and we'll surely help you. ^KF (2/2) https://t.co/5DoqNukc8t"
1060,@flipkartsupport @Flipkart @XpressBees_IN @Flipkart @flipkartsupport @XpressBees_IN  I had done 70 mins of talking  with your delivery partner and your customer care all together to get an update on my product and you claim that I refused to accept the order. Such a pathetic experience with flipkart
1061,@imPpandia We understand your concern about the flight tickets. Request you to contact Flipkart Travel desk by dialling 1800 258 3535 or send an email to travelhelp@flipkart.com for further assistance in this. Hope this helps. (1/2)
1062,"Micromax in 1b First Sale in India Today via Flipkart, Company Site https://t.co/UfH8x54Y8q"
1063,@Flipkart  very bad service provided and not helping the customer
1064,"The legendary master who have millions of followers across the world, who founded Ramashram and conferred with the Title of Anant Shri is Coming soon @ Amazon, Flipkart, Shopclues and bluerose. This marvellous book will introduce you to the highest level of spirituality. https://t.co/oFf8ARDpK3"
1065,@flipkartsupport @Flipkart @_Kalyan_K booked 2 flight ticket from Delhi to Surat. Travel date was 25.05.2020. Flight cancelled due to covid. Spicejet had refunded you 100% money. I have not received any refund for the same. Following since September 2020. Pls refund me 100% money https://t.co/ijMEWkPcMr
1066,"@jeevan_challa Going forward, to ensure that your Flipkart account information is safe, you may start a DM with us by clicking the below link. ^AX (2/2) https://t.co/5DoqNukc8t"
1067,"RT @narnesuresh: @KTRTRS sir, can't  TSRTC  tie up as logistics partner with gaints like Amazon, flipkart and others, thus helping revenue…"
1068,"RT @Ahmad68181572: @Flipkart 
@ConsumForum 
@amazonIN 
#Amazon 
#chorflipkart
Again they have given commitment.
I have booked flight ticket…"
1069,ETRetail | Amazon fined for not displaying mandatory information about products #Amazon #TheConsumerAffairsMinistry #Penalty #Flipkart #ECommerce #MandatoryInformation https://t.co/qOqDgBwXeg
1070,"RT @Micromax__India: Bas 2 din mein IN 1b ka stylish, dual tone finish wala phone ho sakta hai aapka! Sale kicks off on @Flipkart &amp; https:/…"
1071,"@flipkartsupport @Flipkart 
My order OD220124032823776000 is which supposed to delivered on 20th November , now you keep on delaying the resolution date. This is not acceptable . Dispatch the new product immediately , that's the only resolution to the problem https://t.co/g6SvJXvqEW"
1072,"RT @puntinational: Bhakts : Boycott Surf Excel
Result :  Became biggest selling brand of HUL 

Bhakts : Boycott Flipkart
Result : Flipkart’…"
1073,"Play Today's Flipkart Quiz and Super coins &amp; gift vouchers( Assured Rewards):

1. Flipkart Ladies vs Gentlemen: https://t.co/YnwnOkGFqQ

2. Daily Trivia Answers: https://t.co/3zqYAwHIvS

3. Fake or Not fake: https://t.co/h6jyTcHN8S

4. Beat The Genius: https://t.co/TThh7SFaoH https://t.co/4gFNDWBzVx"
1074,"🎁✨Flipkart Daily Trivia Quiz Answers [26th Nov 2020]🎯🎯

1 : Super Mario
2 : Chattisgarh
3 : Kuwait
4 : Barcelona
5 : Pitot Tube https://t.co/QMkpVieZCv"
1075,@KinjalVohra @Micromax__India @Flipkart Congratulations for winning IN Note 1 👍👍
1076,@Flipkart  how many days do u take to credit gift card worth rupee 25 which i have won in  quiz time  game ?? Please credit it as soon as possible.
1077,The quality of my delivery mask is very low. It would be better if it could be refunded #Flipkart @Flipkart @fli https://t.co/fjW7S94MAT
1078,@flipkartsupport why you are not giving any update?? I have money Left in my flipkart wallet retrun that i will never shop from u
1079,https://t.co/3IIFVBE05o https://t.co/3IIFVBE05o Meg Donnelly &amp; More Disney Channel Stars Get Festive In New Holiday Song Sneak Peek — Watch https://t.co/2hYP7pbiiN https://t.co/OfY3vVBU1o https://t.co/OfY3vVBU1o https://t.co/Lb0GkmSrWu
1080,"RT @Harshit76309921: such a fake company flipkart 
#Flipkart not deliver a product yet and it is more than 1 month... giving lame excuses e…"
1081,"RT @PrintPackGo: Packaging, Makes a huge difference

Good Packaging protects your product,
Great Packaging protects your Brand

https://t.c…"
1082,"Micromax in 1b will be sold for the first time in India via Flipkart today, company website: price, specifications https://t.co/3NU7MZzses"
1083,"@Flipkart 
@ConsumForum 
@amazonIN 
#Amazon 
#chorflipkart
Again they have given commitment.
I have booked flight ticket 2 month back and refund initiated.
Still they are giving commitment on daily basis. https://t.co/ncG0ELktpc"
1084,"RT @DealsZoneIndia: Flipkart beat the genius answers

1. Bytedance
2. Shiva
3. KD Jadhav
4. Best Editing 
5. Vijay Nagar

Link : https://t.…"
1085,"@FlipkartStories @FlipkartVideo d) Ladies Vs Gentleman
#ContestAlert #TriviaTuesdays #TuesdayShoutout #TuesdayVibe 
@FlipkartStories @Flipkart
Join @SonaliSBera"
1086,"Read them yet?? #TheKalithSeries 📗
The Kalith Series books are available WORLDWIDE 🌎 in Paperback and eBook versions on Amazon, Notion Press Store, Flipkart, Google Play, Amazon Kindle, Kobo and iBooks.
#KalithTiyasasMalediction #KalithBook2 #NationalBestSeller #AmazonRank1 https://t.co/ccdrMgOdjv"
1087,"RT @Patel_Chirag74: Just 18days from purchase of Google Pixel4A. Another issue, clicking plastic noise from Portion Under Back Camera modul…"
1088,@Flipkart @PMOIndia @jagograhakjago @_Kalyan_K flipkart is a total fraud company. Now this time i will sue you for harassing me so much. Flipkart will have to pay for this fraud committed to me. Enough is enough
1089,"RT @flipkartsupport: @Harsh703706 In future, please do not share your personal details like phone number, email address/order ID here. You…"
1090,"@flipkartsupport @Flipkart @flipkartsupport here is the incorrect status updates by your delivery partner @XpressBees_IN  and my number of follow-ups with them and flipkart customer care.
Tell me when did I refuse to accept , and when did I requested the future delivery. https://t.co/nDUDV7wUop"
1091,RT @AdaShriadhar: @ivijayasharma @myntra @myntra @Flipkart @Walmart This entire team is going downhill with the customer experience they ha…
1092,"@Flipkart Fraud! Fraud!
Flipkart fraud
One more fraud by Flipkart.
I request for replacement for my product, but after delivery there is some parts of product is missing.
Order id :-OD120212926294687000
Lg 22mk600
no power cord , no hdmi cable, rough packing
Seller name is Omni tech retail"
1093,@flipkartsupport Worst service with flipkart
1094,"@SatishKC1 To ensure that your Flipkart account information is safe, please DM us by clicking on the below link. ^EE (2/2) https://t.co/5DoqNu2BgV"
1095,"@Flipkart @FlipkartVideo Fraud Fraud
Flipkart fraud!
One more fraud by Flipkart.
I request for replacement for my product, but after delivery there is some parts of product is missing.
Order id :-OD120212926294687000
Lg 22mk600m
no power cord , no hdmi cable, rough packing
Seller name is Omni tech retail"
1096,"@flipkartsupport But still Flipkart not resolve my issues, whenever I call to Flipkart customer service. They take 48 hrs time and I am waiting from 26 October 2020."
1097,@Flipkart @PMOIndia @walmartindia flipkart is a total  fraud company this is the 5th time my return request for the order no OD119964206307348000 has been cancelled . They did not take my req seriously and now i request @jagograhakjago to take strict action against this comapny. https://t.co/jyOO5lKYyq
1098,"@Flipkart @flipkartsupport I'm tired and frustrated asking you to resolve my issue.

Really frustrated. https://t.co/7psRTAltYY"
1099,"@Flipkart 
@amazonIN 
@ConsumForum 
#chorflipkart
After committing many times no one has called me till now. 
Useless customer support team and nonsense staff https://t.co/AuASAvTtjK"
1100,"Fraud! Fraud! Fraud!
#flipkart #fraud
Flipkart fraud!
One more fraud by Flipkart.
I request for replacement for my product, but after delivery there is some parts of product is missing.
Order id :-OD120212926294687000
Lg 22mk600m
no power cord , no hdmi cable, rough packing"
1101,@flipkartsupport @Flipkart @flipkartsupport such a blatant lie and incorrect status updated by your delivery partner . I have been following up with them and your customer care since 24th continuosly and you all made me sure of the product getting deliver by 25th evening . Such a shame .
1102,"@Flipkart @flipkartsupport See your excuses. No one contacted yet or not yet any solution for Fake GST Invoice.
How many months do you need to resolve this issue..?
Only fake promises everyday that you will resolve my issue in next 24hours..it's been months.
Please look and resolve. https://t.co/K2CzoSSR1A"
1103,"RT @Rj76583430: Flipkart,if you can't handle customer care services then please shutdown your business. You people can't even imagine my cu…"
1104,"👉Flipkart Daily Trivia Quiz Answers 26th November : Win Gift Voucher, Gems &amp; More.

Play Here : https://t.co/QD2Z0Au5Bl

Answers : https://t.co/E1qrUV4xEo"
1105,"👉Flipkart Beat The Genius 26th November Quiz Answers : Win Gift Voucher, Gems &amp; More.

Play Here : https://t.co/QD2Z0ALGsT

Answers : https://t.co/NElzqNG19M"
1106,"👉Flipkart Ladies Vs Gentlemen 26th November Quiz Answers : Win Assured Gift Voucher Or Supercoin.

Play Here : https://t.co/QD2Z0ALGsT

Answers : https://t.co/dvXpKVN8kY"
1107,"👉Flipkart Fake Or Not Fake Quiz Answers 26th November : Win Assured Gift Voucher Or Supercoin.

Play Here : https://t.co/QD2Z0Au5Bl

Answers : https://t.co/gPug3Dgdr0"
1108,"• . : /\/\oonlight is sculpture; sunlight is paintinG : .•
#mumbailockdown2020
#fightagainstcovid19 #passionaboutphotography #iphonecapture #photographylover #eveningmomentcapture
#mumbaikar #sunlight🌞  @PUMA @Flipkart #staysafe #stayhome #likes #commentbelow👇👇👇👇 https://t.co/dGst9dekxn"
1109,"@Harsh703706 In future, please do not share your personal details like phone number, email address/order ID here. You can DM us by clicking on the link below to make sure your Flipkart account details are safe. ^FC (2/2) https://t.co/5DoqNukc8t"
1110,RT @rajneeeshkumar: Delighted to partner with UP Govt in fight against #COVID19 through PPE kits/masks &amp; also supporting state MSMEs/Artisa…
1111,"@Sapphire4396974 To ensure that your Flipkart account information is safe, please DM us by clicking on the below link with the requested details. ^LV (2/2) https://t.co/5DoqNu2BgV"
1112,@SoumenS96036287 We understand your Flipkart account related concern. We tried reaching you on '96******29' and '83******20' but could not get connected. Please let us know an alternate phone number or a good time to talk. (1/2)
1113,@Flipkart  I made online payment for an order but I cancelled the order yesterday and the current status is showing refund cancelled. Kindly help me with this
1114,"RT @BeingSalmanKhan: Sab kuch FRSH ek saath!
Get your FRSHness pack from #TheBigBillionDays today!
Get it here- https://t.co/qeSG3TBxmj 
#T…"
1115,"@FlipkartStories @Flipkart A2) b) MarQ

#ContestAlert #TriviaTuesdays  
@FlipkartVideo
#TuesdayVibe #TuesdayShoutout 
@FlipkartStories"
1116,RT @FlipkartStories: #ContestAlert #TriviaTuesdays Q2 of 4: Here’s an easy one! @Flipkart https://t.co/Ey7PPgxVs3
1117,RT @flipkartsupport: @RjRishabjain123 We are sorry to hear that you are facing an issue with the refund of your flight ticket. We will defi…
1118,"RT @BeingSalmanKhan: Jab discounts ho bharpoor. To FRSHness se kyu rahein aap door?
For exclusive offers on FRSH, click this link now - htt…"
1119,"@TChalla12345 To make sure that your Flipkart account information is safe, please DM us by clicking the below link. ^MZ (2/2) https://t.co/5DoqNukc8t"
1120,"@rameshhcl77 To make sure that your Flipkart account information is safe, please start a private message with us just by clicking the below link. ^JB (2/2) https://t.co/5DoqNukc8t"
1121,@Flipkart Being a plus member Flipkart is unable to my solve my issue from last 4 months. Every time I contact customer care they take bullshit complain but no resolution. https://t.co/t7kOhj6GYp
1122,"@FlipkartStories @Flipkart A2) b) MarQ

#ContestAlert #TriviaTuesdays  
@FlipkartVideo
#TuesdayVibe #TuesdayShoutout 
@FlipkartStories"
