,tweets
293,"https://t.co/Hjy8gVv59y

5 Inch Tortoise   Glass Pipe,Pack of 1,Blue

Rs. 399

Our brands believes   to provide the good quality products to our customer so that customer will   get satisfaction as they want. Our first priority is to provide the maximum https://t.co/9Ac06LL72f"
294,"https://t.co/V5fh0yBdnS

4 inch stripe glass   pipe

Rs. 399

Our brands believes   to provide the good quality products to our customer so that customer will   get satisfaction as they want. Our first priority is to provide the maximum   satisfacion to our customers. https://t.co/ie3ZfkL8R4"
295,"https://t.co/PkC1z89GSM

4 inch heavy glass   pipe

Rs. 399

Our brands believes   to provide the good quality products to our customer so that customer will   get satisfaction as they want. Our first priority is to provide the maximum   satisfacion to our customers. https://t.co/ENzLPUSLj7"
296,"https://t.co/Efwh0cGo0w

4 inch heavy flit   pipe

Rs. 499

Our brands believes   to provide the good quality products to our customer so that customer will   get satisfaction as they want. Our first priority is to provide the maximum   satisfacion to our customers. https://t.co/dLu7IeIsyp"
297,"https://t.co/zcjkvSKmCw

Artistic shroom   pipe

Rs. 399

Our brands believes   to provide the good quality products to our customer so that customer will   get satisfaction as they want. Our first priority is to provide the maximum   satisfacion to our customers. https://t.co/lZaA2beNE1"
298,"@AntoEdison2 Hi! Please ""Private Message"" us by clicking the below link if you’re facing any specific issue and we’ll help you out. Thanks! Sia  https://t.co/1qRWCpRlvq"
299,"@snapdeal Hi i am anto and i am a youtuber i have sent you some dm
Pls co sider responding"
300,"https://t.co/DYBw3LX3gJ

4 Inch Flit Pipe

Rs. 299

Our brands believes   to provide the good quality products to our customer so that customer will   get satisfaction as they want. Our first priority is to provide the maximum   satisfacion to our customers. https://t.co/FNaO34CWCB"
301,"https://t.co/hiOmwM8OWm

4 Inch Twist Pipe

Rs. 299

Our brands believes   to provide the good quality products to our customer so that customer will   get satisfaction as they want. Our first priority is to provide the maximum   satisfacion to our customers. https://t.co/MYsHwGVZit"
302,"https://t.co/VMTt4y0DhJ

4 inch silver fume   dot pipe

Rs. 299

Our brands believes   to provide the good quality products to our customer so that customer will   get satisfaction as they want. Our first priority is to provide the maximum   satisfacion to our customers. https://t.co/14Lz2OpLp9"
303,"https://t.co/tM2IsjevyR

6 Inch Bubbler

Rs. 399

Our brands believes   to provide the good quality products to our customer so that customer will   get satisfaction as they want. Our first priority is to provide the maximum   satisfacion to our customers. https://t.co/3mlijJH9MV"
304,"https://t.co/aTy7dPOu7M

Elephant Glass pipe

Rs. 599

Our brands believes   to provide the good quality products to our customer so that customer will   get satisfaction as they want. Our first priority is to provide the maximum   satisfacion to our customers. https://t.co/664HBs4ifI"
305,"https://t.co/Wlo7s22aGV

4 inch Frog Pipe

Rs. 299

Our brands believes   to provide the good quality products to our customer so that customer will   get satisfaction as they want. Our first priority is to provide the maximum   satisfacion to our customers. https://t.co/ykjIQ3IyOt"
306,"https://t.co/mbog74uHwY

8 inch Bend Bong

Rs. 399

Our brands believes   to provide the good quality products to our customer so that customer will   get satisfaction as they want. Our first priority is to provide the maximum   satisfacion to our customers. https://t.co/erfbZKVxxl"
307,"https://t.co/T5ZU1NqN0L

4 Inch Black Eye   Pipe

Rs. 399

Our brands believes   to provide the good quality products to our customer so that customer will   get satisfaction as they want. Our first priority is to provide the maximum   satisfacion to our customers. https://t.co/fJhTHQYcTQ"
308,"https://t.co/CIoGP2tmXx

4 inch BB glass   pipe

Rs. 299

Our brands believes   to provide the good quality products to our customer so that customer will   get satisfaction as they want. Our first priority is to provide the maximum   satisfacion to our customers. https://t.co/baqt3VFE8W"
309,"https://t.co/sNI5f3RsaJ

4 inch BB glass   pipe

Rs. 299

Our brands believes   to provide the good quality products to our customer so that customer will   get satisfaction as they want. Our first priority is to provide the maximum   satisfacion to our customers. https://t.co/6wauwn0uFd"
310,"https://t.co/HtEeZWB6Nm

📷   4 inchglass pipe

Rs. 359

Our brands believes   to provide the good quality products to our customer so that customer will   get satisfaction as they want. Our first priority is to provide the maximum   satisfacion to our customers. https://t.co/yiv03fjLVg"
311,"https://t.co/xbkQswyrUI

Sherlock 5 inch   glass pipe

Rs. 399

Our brands believes   to provide the good quality products to our customer so that customer will   get satisfaction as they want. Our first priority is to provide the maximum   satisfacion to our customers. https://t.co/J9x8JVjwsN"
312,"https://t.co/tX5LWWLZJW

Artistic 4 inch   glass pipe

Rs. 389

Our brands believes   to provide the good quality products to our customer so that customer will   get satisfaction as they want. Our first priority is to provide the maximum   satisfacion to our customers. https://t.co/HjumAxmelb"
313,"https://t.co/ZIYeftIg8P

4 inch flit glass   pipe

Rs. 299

Our brands believes   to provide the good quality products to our customer so that customer will   get satisfaction as they want. Our first priority is to provide the maximum   satisfacion to our customers. https://t.co/vFIQYZemAL"
314,"https://t.co/HKUl3A6zbp

Artistic 4 inch   glass pipe

Rs. 389

Our brands believes   to provide the good quality products to our customer so that customer will   get satisfaction as they want. Our first priority is to provide the maximum   satisfacion to our customers. https://t.co/uZGhCZj4ww"
315,"https://t.co/T9ecZVGEQA

Twist 4 glass pipe

Rs. 349

Our brands believes   to provide the good quality products to our customer so that customer will   get satisfaction as they want. Our first priority is to provide the maximum   satisfacion to our customers. https://t.co/R2vVVlDWfL"
316,"https://t.co/VSvowLiM7i

Flit 4 inch glass   pipe

Rs. 389

Our brands believes   to provide the good quality products to our customer so that customer will   get satisfaction as they want. Our first priority is to provide the maximum   satisfacion to our customers. https://t.co/qWwARDT6h3"
317,"https://t.co/SLIY7Vvaqd

Twist 4 inch glass   pipe

Rs. 389

Our brands believes   to provide the good quality products to our customer so that customer will   get satisfaction as they want. Our first priority is to provide the maximum   satisfacion to our customers. https://t.co/HUeUQF6tDT"
318,"https://t.co/jseN3WMg6J

Pokemon 6 inch   glass pipe

Rs. 389

Our brands   believes to provide the good quality products to our customer so that   customer will get satisfaction as they want. Our first priority is to provide   the maximum satisfacion to our customers. https://t.co/l1YFwNJEHJ"
319,"@areebisaryan Hi! Please do not respond to any Phone Call/Email/SMS/Letters claiming to offer rewards/lucky draw prizes on behalf of Snapdeal. We NEVER request our customers for unsolicited financial information or advance payments in exchange for rewards. Thanks, Parv"
320,"@iravishpandey Hi! Thanks for sharing your contact details via Private Message. We'll connect with you soon. Regards, Parv"
321,"@Snapdeal_Help I know these are fake call that's why I raised a complaint you have to take care of ur services (customer care &amp; courier ) both how someone get ur customer no, it's totally ur fault bcoz we never choose courier service it's urs."
322,@iravishpandey Please PRIVATE MESSAGE us your contact details by clicking on the given link. Our team will get in touch with you. Thanks! Parv  https://t.co/1qRWCpRlvq
323,@Snapdeal_Help If you are not sharing any deatils of ur customer then how he know I purchased something frm snap deal ?? Few days back I purchased frm @amazon @myntra @Flipkart but never get any call but when purchase something frm @snapdeal i received fake call
324,"@iravishpandey Hi! Please do not respond to any Phone Call/Email/SMS/Letters claiming to offer rewards/lucky draw prizes on behalf of Snapdeal. We NEVER request our customers for unsolicited financial information or advance payments in exchange for rewards. Thanks, Parv"
325,@snapdeal @Snapdeal_Help Today I got msg n call Frm this number he said that u won Tata Safari please take action against them I already raised complaint in ur customer care n share call recording also. https://t.co/0mOGz4hXEQ
326,@Shrek24774265 Please allow us sometime. We will connect with you at the earliest and help you out. Thanks! Parv
327,@Shrek24774265 So sorry for the trouble. We will connect with you at the earliest and help you out. Thanks! Parv
328,"@Shrek24774265 We always request our customers to never share their personal details publicly as our page is visible to everyone. You can always reach out to us via ""Private message"" by clicking the below link. Thanks, Parv  https://t.co/1qRWCpRlvq"
329,"@Shrek24774265 Hi! Very sorry for the inconvenience caused, we've noted down the order ID &amp; I'll get this checked &amp; connect with you. Thanks! Parv"
330,"Information confirmed by your courier partner FedEx, Order refused from 18th Nov, still no action till 23rd Nov. Item shipped forcefully by @snapdeal even after my cancellation request to harass me. Process my refund immediately @snapdeal"
331,"This is regarding my Order ID-37989738334 and complaint no-69193804. Unnecessarily harrasing me @snapdeal. Product shipped without e-Way Bill and my cancellation, refund is stuck for last 15 days. Solve this immediately @snapdeal"
332,"What about my wasted time and money. Worst service ever possible @amazonIN @JeffBezos @amazon you just lost a loyal customer.
Im sure @Flipkart @myntra @snapdeal would be happy to have me"
333,"zunpulse is #smart, so you can be lazy even on a Monday morning. 😴

Grab your #zunpulse smart devices from Amazon, Flipkart or Snapdeal today!

#IoT #smarthome #hometech #technology #MondayMotivation #mondaythoughts #MondayMorning #MondayVibes https://t.co/UTUK6JW2zz"
334,"@snapdeal Micromax, samsung, LG

These brands are gonna bomb the future markets

Try getting Micromax into your hands
Then try samsung default

Work at
BEP
For sometime with electronics and consumer durable goods

For
Snapdeal CEO
Try to spread the word
Indulge more consumer conversation"
335,"Want to make a statement with your kitchen faucet? 🤩
👉 https://t.co/kn859v8RkP
#ShopFromYourHome https://t.co/y6jhByCEKf"
336,"@Flipkart @FlipkartVideo Flipkart is doing same mistake as did by snapdeal I.e more market poor service ,delay in delivery ...
Too sad for me ,flipkart was my first choice in online shopping zone."
337,"@AnkiT_Sheoran01 @flipkartsupport @Flipkart @amazonIN Actually flipkart is doing same mistake what snapdeal did..
Takes 2 days to confirm order,2 days for shipment ,and more than 5 days to deliver..Too late for customer .."
338,"@sandy3037 Hi! Please do not respond to any Phone Call/Email/SMS/Letter claiming to offer rewards/lucky draw prizes on behalf of Snapdeal. We NEVER request our customers for unsolicited financial information or advance payments in exchange for rewards. Thanks, Ashi"
339,"#ecommerce under the radar

E-commerce will now be governed by all the laws that apply to direct selling. The guidelines propose that platforms like Amazon, Flipkart, Snapdeal etc will have to disclose sellers’ details, such as their address, website, email, etc 1/2"
340,@snapdeal Chor company Bach me rahna
341,@snapdeal Chor company Bach me rahna.
342,"@ThomsonTvIndia @Thomson_FRA @flipkartsupport @amazonIN @snapdeal 

Business working on Present situation not on your journey.
I think Thomson  need to be change leader who has a not ability to drive."
343,"RT @Atom_epn: #BoycottNetflixIndia

Simply boycott trend is not enough for them.

Uninstall the Netflix app. Give 1 🌟 rating with some good…"
344,"How Do Ecommerce Sites Offer Free Shipping | Ecommerce Marketing Strategy | Free Shipping Ecommerce

Video link - https://t.co/5DlVjv7W18

subscribe - https://t.co/l9Q5DMqeKK

#education #ecommerce #flipkart #amazon #snapdeal #abhishekanand4u #learnandearn #tips #tutorials https://t.co/TabcId03XS"
345,"RT @AshishforSSR: #GuwahatiRoars4SSR 
#Justice4SSR 

See what's selling on https://t.co/k1Ng4Cx7Em 
Rhea chakraborty Poster @ Rs 499

Kon h…"
346,"#GuwahatiRoars4SSR 
#Justice4SSR 

See what's selling on https://t.co/k1Ng4Cx7Em 
Rhea chakraborty Poster @ Rs 499

Kon hai wo log ko ise khareedte hain https://t.co/i4xPgAE6bB"
347,@TheDeverakonda Naptol product ki Snapdeal product support. 🤣🤣🤣🤣. Adento anni scenes ki okate expressions
348,RT @Icat_irl: @BeastBoyShub remember when indians review bombed snapdeal when snapchat CEO said something about indians? yea Jio was a mist…
349,@flipkartsupport @Flipkart @jagograhakjago @PiyushGoyalOffc Extremely bad service by customer care team. Even they disconnect phone if they have no answer. I lost my money. Flipkart cheated me in the name of replacement policy. @Flipkart @jagograhakjago @raosahebdanve @amazonIN @Paytm @snapdeal @TataCLiQ
350,"@flipkartsupport @Flipkart what is this? this your double standard specialist response.
Your specialist  👎👎. write here for earlier but mail me for 26 Nov. Only making fool to customers.
@amazonIN @Snapdeal_Help @TataCLiQCare @TataCLiQ https://t.co/A6W5k17AGi"
351,@BeastBoyShub remember when indians review bombed snapdeal when snapchat CEO said something about indians? yea Jio was a mistake
352,RT @Snapdeal_Help: @RakeshG60970097 Hi! Please do not respond to any Phone Call/Email/SMS claiming to offer rewards/lucky draw prizes on be…
353,@iamsubratranjan Hi! Sorry for the inconvenience caused to you. Please PRIVATE MESSAGE us your registered contact details by clicking on the given link. Our team will get in touch with you. Thanks! Parv  https://t.co/1qRWCpzKDS
354,"@snapdeal 
Hlo Snapdeal customer service,
I want to change my Gmail id on Snapdeal,But I don't be able to change it .so pls try to help me."
355,"#BoycottNetflixIndia

Simply boycott trend is not enough for them.

Uninstall the Netflix app. Give 1 🌟 rating with some good comments.

Like snapdeal and tik tok.

If you are not using still go there and rate them as 1 🌟.

This will be lesson for them https://t.co/BfJB6BEfaj"
356,@Ramesh97411627 Hi! This number is incorrect and doesn't belong to Snapdeal. Thanks! Parv
357,@Rajesh78599748 @shyamsek Amazon use only single payment gateway for RuPay card transaction processing unlike flipkart or snapdeal. Flipkart or snapdeal use multiple payment gateways for RuPay card transaction processing.
358,"@NAVEENSHOHIR3 Hi! Apologies for this experience, please reach out to us via ""Private Message"" to share the screenshot or the link of the item/ad so that we can get this checked. Thanks! Avi  https://t.co/1qRWCpzKDS"
359,"@Snapdeal_Help Snapdeal showing the photo of mobile in internet,and giving case.rate Rupees 220."
360,"@RakeshG60970097 Hi! Please do not respond to any Phone Call/Email/SMS claiming to offer rewards/lucky draw prizes on behalf of Snapdeal. We NEVER request our customers for unsolicited financial information or advance payments in exchange for rewards. Thanks, Parv"
361,Is this really from @snapdeal https://t.co/oyjLReC4G1
362,"Relaunching the brand: accelerating each process of the pipeline with conviction &amp; hard work of people.
Leadership paving way for newer ways following the current generation, launching on snapdeal.
Launching newer products, opening up hotspots across the country"
363,"@Flipkart.@FlipkartStories.@_Kalyan_K.@flipkartsupport.@FlipkartSellers.The reply you have sent is absolutely ridiculous/funny. The same supplier is supplying to you, Amazon,Snapdeal,jiomart. I really don't know how is supplying to you @ huge price. https://t.co/UaFCXxBjQG"
364,@snapdeal Get FLAT 50% off on most popular JVC headphones. Hurry up!!! Limited Stock https://t.co/Ht30t0CzIK
365,@snapdeal Get FLAT 50% off on most popular JVC headphones. Hurry up!!! Limited Stock https://t.co/Ht30t0kYka
366,"@myntra Shows your customer service Myntra ... in this ever evolving online world, if you don’t pull up your socks and start to really care about your customers, like Snapdeal , Jabong, you would too be forgotten in no time."
367,"@Radha78118226 Hi, Love it when you are happy with us. This shall continue forever. Thanks! Sia"
368,"Invest in your good health now!

Your daily dose of nutrition, packed in purity. A healthy lifestyle with Vedasnest is now just a click away; shop for our products online.

https://t.co/4Zc9bAN81J
Also available on 
Amazon, Flipkart, Snapdeal, fitday, paytm mall
#immunityboosters https://t.co/APsMtEbTmm"
369,"@MandarSal Hi! Please ""Private Message"" us your contact no. by clicking on the link is given below and our team will get in touch with you. Thanks! Ashi  https://t.co/1qRWCpzKDS"
370,@Snapdeal_Help But question remains how these scamster knw we r snapdeal customers? Who gives u the right to sell cust contact number info? Why r u not taking necessary precautions steps to secure database#boycottsnapdeal
371,@flipkartsupport Still you have done nothing. You have stopped valuing your customers. You will end like snapdeal and ebay. Your time is near..
372,@flipkartsupport Still you have done nothing. You have stopped valuing your customers. You will end like snapdeal and ebay. Your time is near.
373,@flipkartsupport Still you have done nothing. You have stopped valuing your customers. You will end like snapdeal and ebay. Your time is near.
374,"The Road To A Contactless Economy | Catch @ShereenBhan in conversation with @1kunalbahl of @snapdeal, @drsangitareddy of @HospitalsApollo &amp; @debjani_ghosh_ of @nasscom as India moves towards creating a contactless ecosystem

https://t.co/JtrsXA3OlT"
375,"RT @CNBCTV18News: COMING UP AT 12 PM | The Road To A Contactless Economy

On @CNBCYoungTurks, catch @ShereenBhan in conversation with @1kun…"
376,"COMING UP AT 12 PM | The Road To A Contactless Economy

On @CNBCYoungTurks, catch @ShereenBhan in conversation with @1kunalbahl of @snapdeal, @drsangitareddy of @HospitalsApollo &amp; @debjani_ghosh_ of @nasscom as India moves towards creating a contactless ecosystem https://t.co/nXkmHmOI6n"
377,"Amp up your wedding season look with this traditional yet stylish pair of wedges. ♥️ https://t.co/uTP6eMVsVO
#ShopFromYourHome https://t.co/N1jSA1laHR"
378,"@MonaTalreja Hi! Please do not respond to any Phone Call/Email/SMS/Letter claiming to offer rewards/lucky draw prizes on behalf of Snapdeal. We NEVER request our customers for unsolicited financial information or advance payments in exchange for rewards. Thanks, Sia"
379,Snapdeal lucky draw winner list https://t.co/IBUCCrcSMl
380,@Spiritual_Sri Our team got in touch with you and updated you on the refund. Thanks! Avi
381,"@PepperMin11 @NiskanenCenter @mananm @MariaSalamancaM And here is one more
https://t.co/g5X5lpURji

FYI, there are just 300k primary H1's waiting for GC and every year 800k FB visas are issued to the ppl who have paid ZERO taxes. Mr.Knucklehead, now do you understand who is taking your jobs?"
382,@Flipkart Lied about ac service.has been harrassing me for service since August. @amazon @snapdeal @Paytm @jagograhakjago should know about flipkart's fraud
383,@snapdeal Sir please gift me i am very big shopping please i am belong to very poor family @snapdeal
384,"RT @snapdeal: Just one look wouldn’t hurt. Click here https://t.co/rM7HkUfQb1 to get this sleek, stylish, and on-the-go #LaptopBag.
#ShopFr…"
385,"RT @CNBCTV18News: Young Turks | India's EdTech Boom

‘Next phase of #edtech will be vocational training. That would be the true ed-tech rev…"
386,"RT @CNBCTV18News: COMING UP AT 8:30 PM | The Road To A Contactless Economy

On @CNBCYoungTurks, catch @ShereenBhan in conversation with @1k…"
387,"@sachinkumarrai0 Hi! Facing any issue with us? Kindly elaborate your concern via ""Private Message"" so that we can assist you in a better way. Thanks! Avi  https://t.co/1qRWCpzKDS"
388,"@snapdeal boycott is now trending
#boycott_snapdeal"
389,@flipkartsupport I dont need soory. I need result. Even @snapdeal is better than you.
390,"Welcome &amp; Enjoy this winter with Oasis One Stop Solutions woolen products...

Pom Pom Cap Especially For You...

Book your order now at @Flipkart 
#o2s2 #myo2s2 

@snapdeal @PaytmMall @livemint 

Tap The Link 👇👇👇
https://t.co/zn76avOieO https://t.co/LRQ8p2HBP4"
391,"COMING UP AT 8:30 PM | The Road To A Contactless Economy

On @CNBCYoungTurks, catch @ShereenBhan in conversation with @1kunalbahl of @snapdeal, @drsangitareddy of @HospitalsApollo &amp; @debjani_ghosh_ of @nasscom as India moves towards creating a contactless ecosystem https://t.co/VHp70pQeY5"
392,Hey @zomatoin being a part of hospitality industry don't listen unscrupulous advices of elements like @ReallySwara.Ignore her. Remember Snapdeal suffering.  in d past. Decision to give ad to a media houses shouldn't be influenced by politically motivated persons. Be professional.
393,"@MandarSal Hi! Please do not respond to any Phone Call/Email/SMS/Letter claiming to offer rewards/lucky draw prizes on behalf of Snapdeal. We NEVER request our customers for unsolicited financial information or advance payments in exchange for rewards. Thanks, Avi"
394,"And in the end he just refused to give it to me. Finally after @m_starboy30  I'm also uninstalling @Flipkart after 7 years of using it. My experience has never been great with you @flipkartsupport . 
I am satisfied with @amazonIN @myntra @JabongIndia @snapdeal @AJIOLife"
395,"Sensational apparel awaits you. Welna is the perfect choice for women who are planning to buy a wonderful cardigan. Feel free to purchase our garments from Flipkart, Amazon or Snapdeal. https://t.co/8GLIT9zc0Q"
396,"@ImAnubhaB93 Hi! Apologies for this experience, please reach out to us via PRIVATE MESSAGE to share your details &amp; we'll be happy to assist you. Thanks, Avi!  https://t.co/1qRWCpzKDS"
397,@Snapdeal_Help I want to return my order
398,@Snapdeal_Help Can i share my suborder id
399,"@ImAnubhaB93 We always request our customers to never share their personal details publicly as our page is visible to everyone. You can always reach out to us via ""Private Message"" by clicking the below link. Thanks, Avi  https://t.co/1qRWCpzKDS"
400,@ImAnubhaB93 Hi! Please elaborate on what went wrong via Private Message by clicking the below link. We’d like to check and get it right for you. Thanks! Avi  https://t.co/1qRWCpzKDS
401,@snapdeal @Snapdeal_Help I need ur help related to my order?? Any one
402,"@rajuguide88 We have responded to your Private Message, please check. Thanks! Ashi"
403,"@Snapdeal_Help Hey, yesterday we came to know that our relative had ordered this for us and didn't tell us. They wanted to keep it a surprise. So, sorry to bother you. I'm deleting my tweet regarding the same."
404,"Young Turks | India's EdTech Boom

‘Next phase of #edtech will be vocational training. That would be the true ed-tech revolution that will change India' says @1kunalbahl of @snapdeal to @ShereenBhan https://t.co/YnOGdVpB4M"
405,"@DezInnovation We always request our customers to never share their personal details publicly as our page is visible to everyone. You can always reach out to us via ""Private Message"" by clicking the below link. Thanks, Avi  https://t.co/1qRWCpzKDS"
406,@DezInnovation Hi! Sorry for the trouble. Please share your seller ID with us so that we can help you. Thanks! Avi  https://t.co/1qRWCpzKDS
407,"Email Id : shop.dezineinnovation@gmail.com
@snapdeal @Snapdeal_Help @SnapdealTech @snapdealdiaries @snapdeal https://t.co/JhA2vvJJql"
408,"Why wait before buying winter wear when stylish apparel is awaiting for you? For the best results, simply purchase a premium sweater from Kvetoo. Visit Flipkart, Amazon or Snapdeal to order our extraordinary products today.
#onlineshopping #onlinestore #menswear #mensclothing https://t.co/SPHsN1bFwE"
409,"Never let the harsh winter weather affect your shopping. We have amazing and affordable sweatshirts for women. Get set to shop for premium clothing today. Buy these online at Flipkart, Amazon, Snapdeal or Ajio.
#womenfashion #womenclothing #womenwear #onlineshopping https://t.co/1kYURNM8eZ"
410,"Wear the smartest deal of the day! 
⌚️⌚️ https://t.co/xTDdjhnGcO
#ShopFromYourHome https://t.co/lO7rly3fsM"
411,"Just one look wouldn’t hurt. Click here https://t.co/rM7HkUfQb1 to get this sleek, stylish, and on-the-go #LaptopBag.
#ShopFromYourHome https://t.co/ja6ypkQFEt"
412,"https://t.co/np9b8y0Jzo

5 Inch Valentine Pipepack Of 2,white Pink

Rs. 299

Our   brands believes to provide the good quality products to our customer so that   customer will get satisfaction as they want. Our first priority is to provide   the maximum https://t.co/T6jEVO9HfJ"
413,@Ayushyee1 So sorry for the trouble. We will connect with you at the earliest and help you out. Thanks! Shreya
414,"https://t.co/EkJu9m7Sg6

📷   Glass Oil Burner Pipe (Transparent, 5 Inch) Buy     5 Get 5 Free

Rs. 999

Our   brands believes to provide the good quality products to our customer so that   customer will get satisfaction as they want. Our first priority is to provide https://t.co/tbtVv04ibI"
415,"https://t.co/6s2cAkrujp

Glass Oil Burner Pipe (Transparent, 6 Inch) Buy 10   get 10 Free

Rs. 1499

Our   brands believes to provide the good quality products to our customer so that   customer will get satisfaction as they want. Our first priority is to provide   the maximum https://t.co/SGngS5RAaB"
416,"https://t.co/3bmKYqcM4N

📷   5 Inch Valentine Glass Pipe pack Of 4,white

Rs. 499

Our   brands believes to provide the good quality products to our customer so that   customer will get satisfaction as they want. Our first priority is to provide   the maximum https://t.co/diU0p3mYFg"
417,"https://t.co/QNtWrCFRWt

5 Inch Valentine Glass Pipe Pack Of 2,white

Rs. 299

Our   brands believes to provide the good quality products to our customer so that   customer will get satisfaction as they want. Our first priority is to provide   the maximum https://t.co/ByHsBHINCU"
418,"@vickysh124 Hi! We've responded to you via private message, please check. Thanks, Shreya"
419,"https://t.co/480fuWEB6l

5 Inch Valentine Glass Pipe Pack Of 1,White

Rs. 199

Our   brands believes to provide the good quality products to our customer so that   customer will get satisfaction as they want. Our first priority is to provide   the maximum https://t.co/Ie2YQ4J8Af"
420,@Snapdeal_Help Check your inbox now
421,"@Ayushyee1 Hi! So sorry, believe me this not a usual Snapdeal experience! I’ll need your order number to start, please share it to our “Private Message” by clicking the below link. Thanks! Shreya
https://t.co/1qRWCpzKDS"
422,"https://t.co/WqYI0had7L

Oil Burner Pipe (Transparent, 5 Inch) Buy Two Get   Two Free

Rs. 499

Our   brands believes to provide the good quality products to our customer so that   customer will get satisfaction as they want. Our first priority is to provide   the maximum https://t.co/73nD5xGpaL"
423,"https://t.co/4thKEil0Lo

Glass Oil Burner Pipe (Transparent, 6 Inch) Pack   of 10

Rs. 999

Our   brands believes to provide the good quality products to our customer so that   customer will get satisfaction as they want. Our first priority is to provide   the maximum https://t.co/vzG5mEOmpo"
424,"@vickysh124 We always request our customers to never share their personal details publicly as our page is visible to everyone. You can always reach out to us via ""Private Message"" by clicking the below link. Thanks, Avi  https://t.co/1qRWCpzKDS"
425,"@vickysh124 Hi! Apologies for this experience, please reach out to us via PRIVATE MESSAGE to share your details &amp; we'll be happy to assist you. Thanks, Avi!  https://t.co/1qRWCpzKDS"
426,"@Ayushyee1 We always request our customers to never share their personal details publicly as our page is visible to everyone. You can always reach out to us via ""Private Message"" by clicking the below link. Thanks, Kavya  https://t.co/1qRWCpzKDS"
427,"@snapdeal @nsitharaman @DrSJaishankar @FinMinIndia @GoI_MeitY i had ordered one t-shirt at 25 of October and there delivery boy delivered the t-shirt at wrong place.
And they are not refunding my money and i also didn't receive any solution yet .
Kindly look into this ."
428,"@Flipkart @flipkartsupport 
Haresment of me after ordering 40 inch TV on @Flipkart please help him @narendramodi seriously these type of foreigner company @Walmart
 Go back 
Want legal help @amazonIN @snapdeal
Order no OD120170932750541000
@amazonIN
@ficci_india @GeM_India https://t.co/b4CbMnUTiY"
429,"@Ayushyee1 Hi! Apologies for this experience, please reach out to us via PRIVATE MESSAGE to share your details &amp; we'll be happy to assist you. Thanks kavya!  https://t.co/1qRWCpzKDS"
430,"https://t.co/5Q6KEA7VI5

Glass Oil   Burner Pipe (Transparent, 6 Inch),Pack of 5

Rs. 699

Our   brands believes to provide the good quality products to our customer so that   customer will get satisfaction as they want. Our first priority is to provide   the maximum https://t.co/CzDBIQgn3q"
431,"https://t.co/x4speJSJ1p

Oil Burner Pipe (Transparent, 6 Inch),Pack of 2

Rs. 349

Our   brands believes to provide the good quality products to our customer so that   customer will get satisfaction as they want. Our first priority is to provide   the maximum https://t.co/lRzgM9bHsl"
432,"https://t.co/cMj7kglAK0

4 Inch Oil Ring Pipe,Pack of 1

Rs. 199

Our   brands believes to provide the good quality products to our customer so that   customer will get satisfaction as they want. Our first priority is to provide   the maximum satisfacion to our customers. https://t.co/gWSWqzyaT1"
433,"https://t.co/flPlOoL2jE

5 Inch Valentine Glass Pipe,Blue &amp; Pink,Pack   of 2

Rs. 299

Our   brands believes to provide the good quality products to our customer so that   customer will get satisfaction as they want. Our first priority is to provide   the maximum https://t.co/e8beRjuLOw"
434,"https://t.co/VTrcmM0w39

5 Inch   Valentine Band Pipe,Pack of 5,White

Rs. 599

Our   brands believes to provide the good quality products to our customer so that   customer will get satisfaction as they want. Our first priority is to provide   the maximum https://t.co/QOVXtXLwxw"
435,"https://t.co/wdgn2rdmsS

5 Inch   Valentine Pipe,Pack of 10,Pink

Rs. 1149

Our   brands believes to provide the good quality products to our customer so that   customer will get satisfaction as they want. Our first priority is to provide   the maximum https://t.co/xM3WL6Gkcn"
436,"https://t.co/7RdrdVcMk5

5 Inch   Valentine Pipe,Pack of 5,Pink

Rs. 599

Our   brands believes to provide the good quality products to our customer so that   customer will get satisfaction as they want. Our first priority is to provide   the maximum satisfacion to our customers. https://t.co/HX71O7lMEH"
437,"https://t.co/eaNDNPb0kD

5 Inch   Valentine Pipe,Pack of 4,Pink

Rs. 519

Our   brands believes to provide the good quality products to our customer so that   customer will get satisfaction as they want. Our first priority is to provide   the maximum satisfacion to our customers. https://t.co/GMWcIDGp72"
438,"https://t.co/Nx9G8ZCOnI

5 Inch   Valentine Pipe,Pack of 3,Pink

Rs. 419

Our   brands believes to provide the good quality products to our customer so that   customer will get satisfaction as they want. Our first priority is to provide   the maximum satisfacion to our customers. https://t.co/747cxCa5n1"
439,"https://t.co/cMg9zyjzmW

5 Inch   Valentine Pipe,Pack of 2,Pink

Rs. 299

Our   brands believes to provide the good quality products to our customer so that   customer will get satisfaction as they want. Our first priority is to provide   the maximum satisfacion to our customers. https://t.co/u4qMpFSuAj"
440,"https://t.co/mmMjPka2Mh

5 Inch   Valentine Pipe,Pack of 1,Pink

Rs. 199

Our   brands believes to provide the good quality products to our customer so that   customer will get satisfaction as they want. Our first priority is to provide   the maximum satisfacion to our customers. https://t.co/eSiFlm46D8"
441,"https://t.co/DukV9ciXa2

5 Inch   Valentine Pipe,Pack of 5,Yellow

Rs. 599

Our   brands believes to provide the good quality products to our customer so that   customer will get satisfaction as they want. Our first priority is to provide   the maximum https://t.co/HF3xSlgupW"
