,tweets
17,"@amazonIN Hi, I have a script ready for printing Chanakya The Art of Living with unique examples and distinctive interpretations. I want to get it published through Amazon. Please help whom to contact. Thanks.."
18,"@amazonIN Hello team, 
I got this DM 2 days ago for winning Galaxy M21, but i didn't get any email or further information even after submitting the necessary details.
Please help. https://t.co/sxQlV0j6qs"
19,"One Day free give away of y First Book tommorrow (November 28, 2020)

UNCONSUMED: IN HIS ABIDING GRACE

Only eBook or Kindle Edition

Avail the gift!

#Ebook_Free_GiveAway
#Amazon
UNCONSUMED: In His Abiding Grace by S Thuam Siam Ngaihte https://t.co/CeAvdJS5Jf via @amazonIN"
20,"@amazonIN #AmazonSpinandWin
Tagging @deepalidamani @sd12dec @sarikag77 @Moliin4u @PinkyDholakia @blessedkamal @JayshreeMalhot6 https://t.co/b43OK3AOS3"
21,"@Sell_on_Amazon @AmazonBusiness

We are seller on @amazonIN since 2016, we receive this threat message and after 3 days, we receive fake copyright complaint on asin:B0798QQYTX , comp id:6477642092, we appealed but no reply from @amazonIN after 25 days  disappointed. https://t.co/jov2DXauKW"
22,"I played this interesting Quiz on Amazon-Play games at Amazon FunZone  https://t.co/RFw3MkxPpU
@amazonIN #AmazonQuiz
Tagging @deepalidamani @sd12dec @sarikag77 @Moliin4u @PinkyDholakia @blessedkamal @JayshreeMalhot6"
23,"@AmazonHelp One of your executive asked me to wait for 2 business days last week. That's already over but no update on the delivery. It's been weeks I have ordered for the replacement. Please look into in or initiate the refund process.
@amazonIN @AmazonHelp"
24,"#AmazonQuiz 
Completed Susesfully Quiz 
@amazonIN 
Amazon India https://t.co/XghbWCqIsL"
25,I played this interesting Quiz on Amazon-Play games at Amazon FunZone  https://t.co/TSDQnRWBnn @amazonIN #AmazonQuiz https://t.co/LFFCAJsIn4
26,"#AmazonFunzoneSlots 
@amazonIN 
@amazon  
Thanks ❤️ https://t.co/LJiDuI1pxK"
27,"#AmazonQuiz 
Completed Susesfully Quiz 
@amazonIN 
Amazon India https://t.co/Phs0ahdZAT"
28,@amazonIN @amazon @AmazonHelp May I know what the fuck is wrong with this review? You have been filtering negative reviews as a practice for a long time now. Please don't send a copy paste reply.. @JeffBezos @AmitAgarwal https://t.co/SFws5psoSp
29,"@amazonIN an order placed on 16th October. Despite repeated calls and mails to amazon help and the seller, I still don’t knw if or when the product will b delivered to me."
30,"#AmazonQuiz 
Completed Susesfully Quiz 
@amazonIN 
Amazon India https://t.co/OUmfc1s6zr"
31,@amitsingh776 @AmazonHelp @amazonIN good
32,"#QuizTimeMorningsWithAmazon #DailyQuizTimeMorningsWithAmazon #AmazonQuiz 

Yaahooooo! Uribaba! Surely I win this awesome prize

Tagging-@amazonIN https://t.co/VB4jVuW5Vo"
33,"@amazonIN in your fresh section give vegetarian option in filters, in product description you have it. 
Like in general section you give Prime Only option in filters, 
similarly provide Vegetarian ony in Fresh and Pantry."
34,@shatakshi_1 @amazonIN You won't even believe. I has this ugly banter with an Amazon employee yesterday. These people talk like parrots who only know what to say and not what to hear.
35,"@amazonIN  dear Amazon checked my odar and shipping my main odar and call me ,9643950895 my number i need to talk with u https://t.co/qUGRNjBq5w"
36,"@AmazonHelp @amazonIN @amazon 
Worst customer service by call center executive (Sradhanjali) please take a call retrieval of her. 
And appreciate Pratyush for his effort to resolve my issue. Thank you amazon."
37,"#SPECIALEDITION #AmazonSpinandWin 

Yaahooooo! Hooray! Uribaba! Urikaka! All! Surely I win this awesome prize

Tagging-@amazonIN https://t.co/D0ZujTaaY4"
38,@amazonIN Really bad exprience no one call me from your end #shameamazon
39,"@iamgonnatweet @amazonIN And not to forget, the time and energy you waste on these jerks trying to resolve the issue. So frustrating!
Just imagine the seller’s audacity to call me directly. And then talk rudely to me after he was at fault. Totally spoilt my mood.
Customer care is totally useless too!"
40,"@amazonIN ordered a Sony WH-1000XM3 headphone. On opening, inner package was open and the AUX cable missing. Assuming that the headphone is not a fake (since package was missing, it might very well be), just wanted the cable shipped. Raised complaint, talked to support-no avail."
41,"@shatakshi_1 @amazonIN Prefer to go for offline always except books , u got  better deal and back up for products bought in retail"
42,"@PtronGlobal @pTronIndia @amazonIN #PR865706 
I could not message you to send email id in dm."
43,RT @vineetabhardwaj: @amazon The most absurd mail I recd frm you guys that Iam making a lot of returns?I wonder if your team understands th…
44,@amazonIN just want to bring to your notice that the malayalam movie Adam Joan streaming on amazon prime doesn't have subtitles. Do u mind rectifying it?
45,@shatakshi_1 @amazonIN Always. These sales are nothing but scam !
46,"Learning from Diwali online sales: Things cost cheaper post sale 😂
I personally encountered an @amazonIN sale scam on Samsung WM
Seller cancelled pre-paid order after 10 days. Was rude &amp; violated rules by calling me directly posing as customer care. Posted fake Tracking ID too🤬"
47,"RT @AmazonNews_IN: Nitish &amp; Harish Jhamnani from #Agra promised to carry their family's 30-year-old entrepreneurial legacy.

Today, with @a…"
48,@BobinPrusty @ShieldVoC @jagograhakjago @amazonIN @AmazonHelp Well received a mosquito trap made in china imported by Surat Gujarat based company hence no ban on made in China
49,@amazonIN @amazon no reply yet.
50,EliteEthnic Georgette Embroidered Semi-Stitched Salwar Suit Palazzo Set Eth... https://t.co/dFGlpRKcxP via @amazonIN
51,@RomitAgarwal1 @pTronIndia @amazonIN @RomitAgarwal1 We are sorry for the inconvenience caused. Please help us with your ticket no./email ID so that we can resolve it promptly and accurately. Thank you!
52,"Done
#Quiztimemorningswithamazon
#AmazonQuiz
#AmazonSpinandWin
I hope win
@amazon @amazonIN https://t.co/Ihre6334WI"
53,"Done
#Quiztimemorningswithamazon
#AmazonQuiz
#AmazonSpinandWin
I hope win
@amazon @amazonIN https://t.co/jbyi7CTxax"
54,"RT @GPingleCorpLaws: Book covers detailed analysis of relevant provisions, reference to Indian &amp; English case laws, comparative position on…"
55,"Done
#Quiztimemorningswithamazon
#AmazonQuiz
I hope win
@amazon @amazonIN https://t.co/aBLHmT4a6d"
56,RT @BobinPrusty: @jagograhakjago @amazonIN selling Made In China products by describing their country of origin as India. When I complained…
57,"RT @rahulja84428122: @JeffBezos 
You and your Company #Amazon are cheat Indian Innocent People. 
I inform you to that your business was not…"
58,"Book covers detailed analysis of relevant provisions, reference to Indian &amp; English case laws, comparative position on some issues under Cos Act 1956/2013, references to Accounting St &amp; FEMA Reg.

@BloomsburyIndia : https://t.co/e483w4LCjb

@amazonIN :
https://t.co/UpNV5zCR5J"
59,"@amazonIN @amazonIN @amazonIN @amazonIN @Gurjeet22414909
#kaurgurjeet960@gmail.com

#DailyMorningQuizTimeWithAmazon
 #QuizTimeMorningWithAmazon 
#AmazonQuiz
#AmazoneFunzoneSlots
🌠 @amazonIN 🌠

Join- 😊
@Tuaa74 
@Harman550 
@Nandinikuma13 
@ManpeeetK 
@sizzler_yashu https://t.co/AnwnYxlPzv"
60,"@amazonIN Hey amazon, kindly improve your UI on amazon shopping app.  
While on search, UI shows products on two columns, which makes it useless on mobile."
61,@amazonIN @AmazonHelp  This is what i received #emptybox . 3 seal's were also broken. Raised an investigation still didn't resolved my issue. https://t.co/oR78kGDRa2
62,@Suvomal @amazonIN I need this watch 😉😉
63,@amazonIN customer care deceives the  customer to buy the product and then denies the offers shown with the order. After two months of continuous follow up.
64,@amazonInQuiz @amazonIN #AmazonQuiz I played this interesting Quiz on Amazon-Play games at Amazon FunZone  https://t.co/FxjHGlHsHx https://t.co/whAGdanhBC
65,Breaks my heart to see such wastage of packaging material. @amazonIN can we please request you to find a solution to reduce the environmental damage. We need all the help to make the world a lil less toxic. https://t.co/d03usdP76R
66,"Md Textiles Rayon Kurti Skirt with Shrug For Girls, Women, Ladies Golden an... https://t.co/03P63OYkTM via @amazonIN"
67,Hey @amazonIN  I played interesting games like #AmazonFunzoneSlots #AmazonSpinandWin #AmazonQuiz
68,@amazonIN @AmazonHelp Why i can't find Airtel  xstream app on Fire stick
69,"#AmazonPayLaterQuiz
I played this interesting Amazon Pay Later Quiz on Amazon-Play games at Amazon FunZone
Play Amazon daily quiz and win Rs. 20,000 Amazon Pay balance on https://t.co/37YHR8q7ZO app
@amazonIN https://t.co/J7swQWNghV"
70,Got a update now that the material delivered that too without delivering  it. Is this a joke. @amazonIN https://t.co/ygdK3rDeNN
71,"RT @GulabSingh9891: Please Give me One Chance to Stand and Win this Quiz !!🙏🏻
#AmazonQuiz #FunZone 
#DailyMorningQuizTimeWithAmazon #Amazon…"
72,As a giant @amazonIN why are you selling this kind of things who will not afford to give service after sell. @BoatNirvana can't even reply. @amazonIN you should take steps against this kind of companies. https://t.co/rFYJnsYDff https://t.co/E2Fgo3Tozx
73,"#AmazonQuiz
I played this interesting Quiz on Amazon-Play games at Amazon FunZone
Play Amazon daily quiz and win Rs. 20,000 Amazon Pay balance on https://t.co/37YHR8q7ZO app
@amazonIN https://t.co/KJiLAHzciC"
74,"RT @GulabSingh9891: Please Give me One Chance to Stand and Win this Quiz !!🙏🏻
#AmazonQuiz #FunZone 
#DailyMorningQuizTimeWithAmazon #Rewind…"
75,@amazon @amazonIN @fg_buzz must be held for outsmarting indian authorities intelligently.Considering the pathethic situation I think deal with reliance must pass on and also all of them must be taught a lesson!!😡.No one cares abt retail investors.Many invest based on disclosures
76,"@reliance @amazonIN @fg_buzz What is the expected date in which Delhi HC verdict cud come?!!!..
I regret why I invested in future retail last year at 330rs!!😥. Averaged again💔 after reliance deal announcement.Even NSE have warned u of hiding information!!!"
77,"@Aadii_Sawant @amazonIN https://t.co/JejY9kJsaM 
Plz do some help"
78,@amazonIN what a pathetic service. Delivery person calling to step down in building for material receipt or else material won't get delivered. So the door step Delivery is over. Being a prime member such a extraordinary Delivery experience and rough language is exceptionally.
79,"@amazonIN 
Where is my order #403-1710550-4116365.

Schedule delivery 23rd
Tracking Details added on 25th
Still package not shipped.

No support in checking with seller and resolve this issue. How long to wait ??

very poor customer support 😞😡"
80,"#AmazonSpinandWin
 I played this interesting Quiz on Amazon-Play games at Amazon FunZone and win ""Mi Smart Band 5-1.1” AMOLED Color Display, 2 Weeks Battery Life, 5ATM Water Resistant"" on https://t.co/37YHR8q7ZO 
@amazonIN https://t.co/0mnmJlqhlO"
81,"RT @AmazonNews_IN: Aiming to reconnect the youth of India with traditional arts &amp; crafts, @amazonIN seller Pooja started ‘Potli’.  

She ma…"
82,@AmazonHelp @amazon @AmitAgarwal @amazonIN can I expect actions ?
83,@AmazonHelp Otherwise I will delete everything in my phone which is related to @amazonIN  UPI too
84,"@AmazonScience Use your AI to solve this one.

Day 38 and counting. Any update yet @amazon on my complaint ticket 0524431704 with @amazonIN or is it not 16 Oct 2020 in your calendar yet! Anybody alive there @amazon!!! 
 #amazonfraud
#downwithamazon 
#BoycottAmazon 
#amazonsucks"
85,"#AmazonQuiz
I played this interesting Quiz on Amazon-Play games at Amazon FunZone https://t.co/37YHR8q7ZO
@amazonIN https://t.co/Hp17wXMTPU"
86,"How worst support by @amazonIN @amazon. It has been already 7 days, but no response by your team. Still I am facing the same issue. Can I have a resolution for this asap? https://t.co/po23gSY7x9"
87,"I brought (Fortune Special Biryani Basmati Rice, 5kg ) 408-4886949-8218752 Damaged product and fully insect in the box So. it is my humble request to all of you plz not buy any product from amazon #amazon #Amazon @AmazonHelp @amazonIN @FortuneSL https://t.co/Y2qOqGvxpY"
88,@flipkartsupport @Flipkart @_Kalyan_K @AmitAgarwal @JeffBezos @AmazonHelp @amazonIN @amazon @chandra32897338 #boycottshoppingonflipkart @ShieldVoC @food_travel_us @binnybansal  Day 120 fraud done by flipkart with me &amp; not returned my money
89,Still awaiting for resolution.. U proving that A stubbon executive is above a loyal customer. @JeffBezos @amazonIN @AmazonHelp #poorcustomercare #noresolution #fraud
90,RT @ravikiranm3: I hope I win #AmazonSpinandWin @amazonIN @SantoshPethkar9 @amazon #AmazonQuiz https://t.co/fM5UVt9Bod
91,"Thanks for Amazon Quiz
Here's my correct answer's screenshot
#Rewind2020 Quiz
@amazonIN
#AmazonQuiz 
Join
@Hejraj1 
@Sukhwin82069446 https://t.co/sY6JaWUgW5"
92,"#AmazonQuiz
@amazonIN
I played this interesting Quiz on Amazon-Play games at Amazon FunZone  https://t.co/i0jPw2NOjc

Join
@prashpatel_ @RaviKhemka6 @AbhishekIPLFeak"
93,@AmazonHelp your delivery executive told me that he is near from my house (under 500 meter) before 1 hours but now he does not receive my call.  One of the bad experience of my life.  big mistake to order on @amazonIN
94,"@amazonIN - Ordered Kindle, But Amazon is making excuses - every time i contacted them- customer service , delivery guy everyone is saying different.. on different page
"" I need the order, not the refund"" 
*Experiencing worst prime service for the first time*"
95,"@amazonIN I have won daily quiz time on Amazon app, but  have not been contacted by mail or sms yet, please help to claim the prize."
96,"Thanks for Daily Quiz
Here's my correct answer's screenshot
@amazonIN 
#AmazonQuiz 
Join 
@Hejraj1 
@Sukhwin82069446 https://t.co/jKTkxN1cu3"
97,"#AmazonQuiz 
Complete successfully
Thanks
@amazonIN @amazon https://t.co/hoxqhEoIPN"
98,Very poor logistics of Amazon @amazonIN
99,"@XiaomiIndia @amazonIN @Flipkart Really? Sale or Sell? What do you mean actually?
All the products are in same price for long time now. So what do you actually mean Black Friday’Sale’?? You’re just diving the products in same price, no additional discounts!!
Think before you cheat!!
#FakeAlert #MiBlackFridaySale"
100,"#AmazonQuiz 
Complete successfully
Thanks
@amazonIN @amazon https://t.co/KIpQoyC0dB"
101,@amazonIN Hi.. Daily saree sontest khleti hoon
102,I  played #Amazonspinandwin and I entered the lucky draw to win @amazonIN https://t.co/JbD9UnpcQ8
103,@amazonIN who’s this Shivkumar? Why my email is linked with his Amazon account? @AmazonHelp https://t.co/F3LndGxIum
104,@AmazonHelp @AmazonHelp @amazon  @amazonIN @AmitAgarwal struggling since last 10 days for simple task return order pickup from my place. https://t.co/mlo3CHTogV
105,@amazonIN Respected Amazon india #may I know why did you delivery this kind of food packet https://t.co/hVmrZDlbz7
106,@AmazonHelp why don’t your delivery guys follow the no contact policy. Everyone stand in front of my doorstep holding the package waiting for me to take it from them!!! Have they not been trained? @amazonIN
107,@amazonIN Is a fraud. Your customer service is impossible. I have not received my order which I placed a month ago worth 15k and I have been following up and complaining for the last 10 days but each time Your team tells You will get in the next48 hours!THIEF
108,@AmazonHelp @amazonIN i’ve cancelled my samsung M51 mobile unknowingly! Can you undo the cancellation and deliver my mobile pls
109,"@TOIBusiness Amazon India - 75k  a sab chalta hy, Mera 2 minutes ka income fine hy. Am i wrong @amazonIN?"
110,@ICICIBank_Care @ICICIBank @ICICIBank_Care even after 4 days no official has contacted me. You have collected my document twice for KYC. Why are you harassing a customer for Amazon Pay ICICI card ?? @amazonIN @amazonpay
111,@amazon I'm very upset with @amazonIN without any prior notice my order got cancelled and just wait for it..
112,"@amazon @amazonIN @AmazonHelp , deeply disappointed with your pathetic services , I contacted your customer team and their answers are ridiculous , it's  not a e commerce firm it's a dumb organisation with zero work ethics , zero logistics management"
113,@amazonIN let me know if you need a spell checker😂😂 https://t.co/9Zc8Qb2sRh
114,"@Anupktinwal @_Kalyan_K @AdarshKMenon @dmcmillon17 @amazonIN @Ravikum39413071 @Kanishk966067 @sainimdw007 @roshangjha @wallmart @JitendraNaruk13 Very True, I also have pathetic experience with flipkart."
115,"#AmazonQuiz
#AmazonFunZone
#AmazonIN
#PlayAndWin
#DailyQuiz
I played this interesting Quiz on Amazon-Play games at Amazon FunZone  https://t.co/wBRSti0aGa https://t.co/ClGW3ovhpz"
116,"#Amazon @amazonIN  fined Rs 75k for not showing ‘country of origin’ 
WELL DESERVED -- it must be ₹7.5 Crores 
https://t.co/dcViuqNg2h"
117,"RT @michaelalok: @JeffBezos; @AmazonHelp; @amazonIN; @PMOIndia; @HMOIndia; 
A. 
ORDER PLACED
23 August 2020
ORDER # 405-2921653-1848347
Ret…"
118,"#AmazonQuiz
#AmazonFunZone
#AmazonIN
#PlayAndWin
I played this interesting Quiz on Amazon-Play games at Amazon FunZone  https://t.co/zmxIhMosy3 https://t.co/Y8cqseXzmT"
119,"#AmazonSpinandWin 
I am eligible to win Sony Bravia 108 cm (43 inches) Full HD Smart LED TV 📺 (2020 Model)

Price. ₹ 34,990💰
Email💻.ngaurav34@gmail.com 
@amazonIN https://t.co/WPpO1gG1zT"
120,"#AmazonSpinandWin 
I got a chance to win this
@amazonIN https://t.co/FJ05BIQ3zK"
121,"HEY @Uber_India, @amazonIN and @MyNykaa Y U NO @getsimpl  #KeepItSimpl"
122,"#AmazonQuiz 
I am eligible to win Samsung Galaxy Watch.⌚
Price. 18796 Rs.
Email.ngaurav34@gmail.com 
@amazonIN https://t.co/QxV35RkRsN"
123,"S J.D. @SJD72489404 
#AmazonQuiz 
Thanks Amazon for Contest 🙏
@amazonInQuiz 
@amazonIN https://t.co/6ud18gUKNm"
124,"S J.D. @SJD72489404 
#AmazonQuiz 
#AmazonSpinandWin 
Thanks Amazon for Contest 🙏
@amazonInQuiz 
@amazonIN https://t.co/wRMmJT11ae"
125,"#AmazonQuiz 
I am eligible to win Samsung Galaxy Watch.⌚
Price. 18796 Rs.
Email.ngaurav34@gmail.com 
@amazonIN https://t.co/oyNoxGeQHk"
126,"All info provided 30 days before.i don't understand, y u making us fool and always telling ""hold ur account for security reason""
I know how to secure my account,i already activate two step verification before login, No one can login my account without OTP
@amazonIN 
@AmazonHelp https://t.co/tOtdv37cM1"
127,"RT @michaelalok: @AmazonHelp; @amazonIN; @JeffBezos; @PMOIndia; @HMOIndia; 
A. 
ORDER PLACED
23 August 2020
ORDER # 405-2921653-1848347
Ret…"
128,"S J.D. @SJD72489404 
#AmazonQuiz 
Thanks Amazon for Contest 🙏
@amazonInQuiz 
@amazonIN https://t.co/cCw1bwWIrT"
129,"S J.D. @SJD72489404 
#AmazonQuiz 
Thanks Amazon for Contest 🙏
@amazonInQuiz 
@amazonIN https://t.co/8zxJb7MXhl"
130,"@amazonIN
@PankajT55921275
@irfanidrishi7
I played this interesting Quiz on Amazon-Play games at Amazon FunZone  https://t.co/bdyXcUohlR"
131,"#AmazonSpinandWin 
#AmazonIndia 
#AmazonIN 
✌️💯 Hurray..Amazon win..👍 https://t.co/KZCZMzVZed"
132,"@amazonIN This is really getting late, please assure till when I can recive this order. Thanks. https://t.co/x6707kNBxQ"
133,"#AmazonQuiz
#DailyQuiz
#PlayAndWin
#AmazonIN
#AmazonFunZone 
I played this interesting Quiz on Amazon-Play games at Amazon FunZone  https://t.co/UHIcFkYSee https://t.co/kWX04DZxWH"
134,"#AmazonQuiz 
#AmazonIndia 
#AmazonIN 
✌️💯💯👍👍 Perfect win.. https://t.co/GTmDS209UN"
135,@AmazonHelp I am not going to reply to ur fucking email. The same complaint every time. But resolution of complaint none/zero!!  @amazonIN  @JeffBezos
136,"@amazonInQuiz #AmazonSpinandWin 
I am eligible to win Sony Industry Leading Wireless Noise Cancelling Headphones, Bluetooth Headset with Mic for Phone Calls, 30 Hours Battery Life, Quick Charge, Touch Control &amp; Alexa Voice Control.🎧
Price. ₹ 29,990💰
Email💻. vinitan250@gmail.com
@amazonIN https://t.co/6PrnXkGXb2"
137,"Nice contest @amazonIN 
#AmazonSpinandWin https://t.co/zt7rXYQW2L"
138,"#AmazonSpinandWin 
I am eligible to win Sony Industry Leading Wireless Noise Cancelling Headphones, Bluetooth Headset with Mic for Phone Calls, 30 Hours Battery Life, Quick Charge, Touch Control &amp; Alexa Voice Control.🎧
Price. ₹ 29,990💰
Email💻. vinitan250@gmail.com
@amazonIN"
139,"#AmazonIndia
#AmazonQuiz
@amazonIN
@AmitAgarwal
Mail Id - moregajanan143@gmail.com 
I hope , I can win https://t.co/JbxGI3x3kr"
140,"#AmazonIndia
#AmazonQuiz
@amazonIN
@AmitAgarwal
Mail Id - moregajanan143@gmail.com 
I hope , I can win https://t.co/WS4cmgdHlm"
141,"#AmazonIndia
#AmazonQuiz
#AmazonSpinandWin
@amazonIN
@AmitAgarwal
Mail Id - moregajanan143@gmail.com 
I hope , I can win https://t.co/v5aQotygpo"
142,"Waiting for my order delivery from monday.. Everyday I received message that my order is out for delivery but after an hour another message on app that delay in delivery due to external factor. 
@amazonIN will i get my order? 
Or you all are wasting my time

Such a bad experience"
143,@RedmiIndia @amazonIN @Flipkart Nice
144,"#AmazonQuiz 
I am eligible to win Samsung Galaxy Watch Active 2 (Bluetooth, 44 mm) - Black, Aluminium Dial, Silicon Straps.⌚
Price. ₹ 18,796
Thanks Amazon and team for this Daily Morning Quiz Contest.🙏 
Email💻. vinitan250@gmail.com 
@amazonIN https://t.co/OfHLrUfFvx"
145,"#AmazonQuiz 
I am eligible to win Samsung Galaxy Watch Active 2 (Bluetooth, 44 mm) - Black, Aluminium Dial, Silicon Straps.⌚
Price. ₹ 18,796
Thanks Amazon and team for this Daily Morning Quiz Contest.🙏 
Email. vinitan250@gmail.com 
@amazonIN https://t.co/FjC2NRTgoV"
146,#AmazonQuiz @amazonIN I played this interesting Quiz on Amazon-Play games at Amazon FunZone  https://t.co/KZK130yxrr
147,"#AmazonSpinandWin
#AmazonRewind2020Quiz
#QuizTime
#QuizAnswer
@amazonIN
Wish to win Sony Bravia 43"" Full HD Smart LED
Join
@vijayragupta 
@PawarVasu2 
@Manu98791 
@UpinKumar9 
@ShobhaJangid3 https://t.co/zFXgJlrIGv"
148,"Rain, cold or heat early or late hour .. great to see the efforts of delivery teams of @bigbasket_com @Flipkart @amazonIN @swiggy_in @zomato   and other ecom teams ...  The super GiGs"
149,"#AmazonSpinandWin
Try your luck for Amazon SpinandWin contest lucky
chance to win exciting reward
@amazonIN @amazon 
#AmazonSpinandWin https://t.co/Vc7pNjr1Gr"
150,"RT @vinayrai201: @amazon @AmazonHelp @amazonIN 
I have ordered WM on 4th Nov and I am still waiting for my product
#DhokeKaLaddu https://t.…"
151,"ALL answers correctly 
AMAZON QUIZTIME TRY YOUR 
LUCk @amazonIN  @amazon     #AmazonQuiz https://t.co/URytbKs9yt"
152,"#AmazonQuiz 
#QuizTimeMorningsWithAmazon
#QuizTime
#QuizAnswer
@amazonIN
I played this interesting Quiz on Amazon-Play games at Amazon FunZone  https://t.co/YwnWLTmsoF
Join
@vijayragupta 
@PawarVasu2 
@Manu98791 
@UpinKumar9 
@ShobhaJangid3 https://t.co/zDhWUx1Xog"
153,"#AmazonQuiz 
@amazon @amazonIN 
I played this interesting Quiz on Amazon-Play games at Amazon FunZone  https://t.co/HlKEs8GsHJ https://t.co/DTFIANk9AN"
154,"#AmazonSpinandWin
I played this interesting Quiz on Amazon-Play games at Amazon FunZone
@amazonIN 
#Amazon 
#AmazonQuiz https://t.co/ayayeZHMW1"
155,Thanks  for this wonderful quiz @amazonIN   #AmazonQuiz https://t.co/axmoNg0Vkj
156,Done @amazonIN #AmazonQuiz https://t.co/azqRIecjuV
157,"Win Amazing banded prizes with just a quiz. Awesome game FUNZONE.
Thank you for the great game
@amazonIN 

#TL8 

#AmazonQuiz https://t.co/rR4xyZ6D1w"
158,"Please Give me One Chance to Stand and Win this Quiz !!🙏🏻
#AmazonQuiz #FunZone 
#DailyMorningQuizTimeWithAmazon
#QuizTimeMorningsWithAmazon
@amazonIN @JeffBezos @amazon #AmazonIndia @AmazonHelp https://t.co/si3z85bw1N"
159,"#AmazonQuiz
#DailyMorningQuizTimeWithAmazon #FunZone
#GreatIndianFestivalGames #AmazonIndia #JeffBezos @amazonin
I played this interesting Quiz on Amazon-Play games at Amazon FunZone  https://t.co/rW8H1LR1Tm"
160,"I Hope, I win this Samsung Galaxy Watch Active
#AmazonQuiz #FunZone #DailyMorningQuizTimeWithAmazon 

Thank You @amazonIN to play this Quiz, Only One chance to Stand and Win the Quiz.🙏🏻🙏🏻 https://t.co/igzcNEc1xY"
161,"@amazonIN #AmazonSpinandWin  
I play spin and win https://t.co/arbKcsY14e"
162,"RT @Ahmad68181572: @Flipkart 
@ConsumForum 
@amazonIN 
#Amazon 
#chorflipkart
Again they have given commitment.
I have booked flight ticket…"
163,"@amazonIN Dear Amazon Team, I am struggling from last 15 days for return of one of my order. Can you please help me to resolve the issue. I have made several calls in Customer care, but problem remain unresolved."
164,RT @iamadityaghosh: Feel honoured &amp; privileged to have launched the latest book of my friend @AbhijitBhaduri called #DreamersAndUnicorns ~…
165,"@amazonIN 

No resolution even after 4 calls and 2 chats with customer care. 

Registered mobile number is 8879562520 
Pls do the needful ASAP."
166,"@amazonIN your delivery guys just give a miscall and then they put the status of couldn’t reach you and delivery attempted. This option shouldn’t be there with them, they are misusing it very badly"
167,"@Flipkart 
@ConsumForum 
@amazonIN 
#Amazon 
#chorflipkart
Again they have given commitment.
I have booked flight ticket 2 month back and refund initiated.
Still they are giving commitment on daily basis. https://t.co/ncG0ELktpc"
168,"RT @Altindhistory: Available now, the first book in the Bharat Empire cycle, a noirish ride through the seedy back streets of 70s #Calcutta…"
169,RT @lalrinpuia_h: Finally @ananthkrishnan ‘India’s China Challenge ‘ arrived from @amazonIN . This will be my fifth book on this topic. Hop…
170,Very frustrating when you guys keep us waiting and don't deliver...and your delivery guys put out fake statuses that they attempted delivery @amazonIN https://t.co/dTQZo7qm6T
